id,complaint_percentile,unit,is_sup
12302,54.4974,District 022,0
12595,86.7228,District 001,0
30539,98.3254,District 004,0
31275,77.7420,Public Transportation Section,0
4281,71.3691,District 012,0
5355,59.5201,Bureau Of Internal Affairs,0
9919,88.6315,Forensic Services Division,0
9912,57.5331,Special Weapons And Tactics (Swat) Unit,0
11422,37.2855,District 009,0
12791,71.7817,Detective Area - North,0
13415,88.4147,District 009,0
14174,96.9355,District 009,0
14538,85.4992,District 022,0
15083,78.4619,District 008,0
18506,91.0473,District 007,0
24766,76.1019,Bureau Of Organized Crime,0
31081,51.6411,Detective Area - South,0
32000,88.1013,Narcotics Division,0
14937,79.2576,Gang Investigation Division,0
22085,68.4343,District 002,0
22972,67.7815,District 002,0
4824,56.4525,Detective Area - North,0
13373,45.1679,District 003,0
14908,68.8396,District 002,0
15368,92.4497,District 012,0
17893,36.9626,District 012,0
25878,81.4298,District 006,0
31034,78.0100,Detective Area - South,0
31841,95.2963,Narcotics Division,0
32179,52.3175,Intelligence Section,0
15926,81.2655,District 024,0
25359,47.3724,District 007,0
26502,86.5844,District 002,0
27036,51.7901,District 017,0
31833,95.1970,Gang Investigation Division,0
4047,78.6176,Gang Enforcement - Area Central,0
11820,92.3298,District 003,0
16824,52.8486,District 022,0
17777,20.2323,District 008,0
29347,89.7176,District 001,0
31261,62.0513,Narcotics Division,0
31910,99.3810,Gang Investigation Division,0
32081,74.5100,Vice & Asset Forfeiture Division,0
190,77.0436,District 008,0
8799,93.9123,District 009,0
18210,31.9087,District 011,0
20439,89.5877,District 022,0
22785,68.2948,District 008,0
28263,60.2169,District 005,0
3995,86.6264,Bureau Of Internal Affairs,0
8257,98.9492,Airport Law Enforcement Section - South,0
10973,30.1020,District 024,0
17572,46.8687,District 024,0
19492,88.5178,District 011,0
21615,98.1965,District 004,0
24697,72.0225,District 020,0
25323,81.3267,Special Weapons And Tactics (Swat) Unit,0
27873,88.6723,Gang Investigation Division,0
31882,99.8051,Narcotics Division,0
2366,23.3375,District 014,0
11653,69.0858,District 022,0
29963,42.6121,Bureau Of Internal Affairs,0
31344,86.0762,Detective Area - North,0
4953,45.7030,District 002,0
5465,33.8905,District 018,0
127,92.5380,District 004,0
10864,58.8343,Public Transportation Section,0
11634,99.6179,Detective Area - South,0
18874,41.7335,Arson Section,0
20063,76.3517,District 008,0
21651,80.7115,Traffic Section,0
23781,88.9611,District 012,0
24063,72.8826,Detective Area - Central,0
25381,88.1586,Detective Area - South,0
25877,30.6293,District 006,0
29841,99.5275,District 005,0
30030,59.6838,District 002,0
30959,84.9070,District 004,0
31946,90.1379,Narcotics Division,0
8020,59.5201,Office Of The First Deputy Superintendent,0
31913,60.3760,Gang Enforcement Division,0
195,23.7383,Detective Area - North,0
6726,76.6574,Major Accident Investigation Unit,0
8058,71.7817,District 017,0
14964,70.7348,Detective Area - North,0
18425,95.1431,Narcotics Division,0
18172,91.6129,Detective Area - Central,0
22610,94.9522,District 010,0
26288,85.0830,Narcotics Division,0
26933,86.2938,District 016,0
11904,76.7491,District 011,0
14823,32.6059,Airport Law Enforcement Section - South,0
25100,53.8955,District 004,0
2400,99.2282,District 020,0
